1,Південний міст,ххх/2016,НПО Інфотех,приміщення під мостом ,"50.394552, 30.597738"
2,Дарницький міст,ххх/2016,НПО Інфотех,на вулиці,"50.412331, 30.571956"
3,Міст Патона,ххх/2016,НПО Інфотех,"КП ""Київшляхміст"" Набережно-Печерська дорога 2","50.423887, 30.572560"
4,Московский  мост,ххх/2016,НПО Інфотех,під мостом,"50.495030, 30.557057"
5,Міст Метро,ххх/2016,НПО Інфотех,на вулиці,"50.441400, 30.560044"
6,вул. Хрещатик,126/2016,Техком Сервіс,"пл. Бесарабська, 2 (бесарабський ринок) ","50.442378, 30.521589"
7,вул. Хрещатик,126/2016,Техком Сервіс,"вул. Інститутська, 2а (ТЦ ""Глобус"")","50.450960, 30.522564"
8,вул. Хрещатик,126/2016,Техком Сервіс,"вул. Інститутська, 4 Готель ""Україна"")","50.448476, 30.527152"
9,вул. Хрещатик,126/2016,Техком Сервіс,"вул.Хрещатик, 7/11","50.450661, 30.526009"
10,вул. Хрещатик,126/2016,Техком Сервіс,"вул.Хрещатик, 1/2 (Готель ""Дніпро"")","50.451470, 30.527440"
11,вул. Хрещатик,126/2016,Техком Сервіс,"ул.Крещатик, 2","50.453238, 30.526719"
12,вул. Пушкінська,ххх/2016,Техком Сервіс,"вул. Пушкінська, 11а (Пост охорони КМДА)","50.445781, 30.518710"
13,ул. Грушевского,ххх/2016,Техком Сервіс,"вул.Хрещатик, 1/2 (Готель ""Дніпро"")","50.451470, 30.527440"
14,ул. Грушевского,ххх/2016,Техком Сервіс,"пер. Аскольдів, 3а","50.442802, 30.548634"
15,вул. Інститутська,ххх/2016,Техком Сервіс,"вул. Інститутьска, 2а (ТЦ ""Глобус"")","50.446201, 30.534350"
16,Палацу спорту,4/18,Техком Сервіс,"вул. В.Васильківська, 53/3 ","50.433662, 30.516523"
17,Палацу спорту,4/18,Техком Сервіс,"бульвар Тараса Шевченка, 17","50.443320, 30.509236"
18,Палацу спорту,4/18,Техком Сервіс,"вул.Хрещатик, 7/11","50.450661, 30.526009"
19,Палацу спорту,4/18,Техком Сервіс,"ул.Крещатик, 2","50.453238, 30.526719"
20,Палацу спорту,4/18,Техком Сервіс,"вул. А.Барбюса, 53","50.417559, 30.528720"
21,НСК «Олімпійський»,5/18,Техком Сервіс,"вул. В.Васильківська, 53/3 ","50.433662, 30.516523"
22,НПМ «Україна»,3/18,Техсервіс інженірінг,"вул. А.Барбюса, 53","50.417559, 30.528720"
23,Троєщина,"37/17, 38/17",Протипожежні інновації,маяковского  2а,"50.497989, 30.591388"
24,Троєщина,"37/17, 38/17",Протипожежні інновації,драйзера 27/2,"50.505424, 30.597309"
25,Троєщина,"37/17, 38/17",Протипожежні інновації,закревского 39,"50.504636, 30.614957"
26,Троєщина,"37/17, 38/17",Протипожежні інновації,цветаевой 8,"50.523338, 30.624022"
27,Троєщина,"37/17, 38/17",Протипожежні інновації,бальзака 2,
28,Троєщина,"37/17, 38/17",Протипожежні інновації,бальзака 16,
29,Троєщина,"37/17, 38/17",Протипожежні інновації,бальзака 32,
30,Троєщина,"37/17, 38/17",Протипожежні інновації,бальзака 57,
31,Троєщина,"37/17, 38/17",Протипожежні інновації,лисковская 2/71,
32,Троєщина,"37/17, 38/17",Протипожежні інновації,милославська 33,
33,Троєщина,"37/17, 38/17",Протипожежні інновації,милославська 74/9,
34,Голосіївський ,"33/17, 35/17",Основи безпеки,"ЖЕК за адресою вул. В. Касіяна, 8",
35,Голосіївський ,"33/17, 35/17",Основи безпеки,"ЖЕК Голосіївський проспект, 118б",
36,Голосіївський ,"33/17, 35/17",Основи безпеки,"Середня школа №36, вул. М. Стельмаха, 9",
37,Голосіївський ,"33/17, 35/17",Основи безпеки,"ЖЕК вул. Антоновича, 170-172",
38,Голосіївський ,"33/17, 35/17",Основи безпеки,"ЖЕК вул. Новопирогівська, 25/2",
39,Лісовий масив,34/17,Протипожежні інновації,вул. Братиславська ,
40,Лісовий масив,34/17,Протипожежні інновації,"Лісовий проспект, 44/2",
41,Лісовий масив,34/17,Протипожежні інновації,"вул. Братиславська, 34",
42,Лісовий масив,34/17,Протипожежні інновації,"вул. маршала Жукова, 15",
43,Оболонь,"31/17, 32/17",Протипожежні інновації,Героїв Дніпра 12\10,
44,Оболонь,"31/17, 32/17",Протипожежні інновації,"Героїв Дніпра, 22",
45,Оболонь,"31/17, 32/17",Протипожежні інновації,Полярна 56\2,
46,Оболонь,"31/17, 32/17",Протипожежні інновації,"Йорданська, 1а",
47,Оболонь,"31/17, 32/17",Протипожежні інновації,"Йорданська, 9а",
48,Оболонь,"31/17, 32/17",Протипожежні інновації,"А.Орхипенко, 4",
49,Оболонь,"31/17, 32/17",Протипожежні інновації,"А.Орхипенко, 12\3",
50,Оболонь,"31/17, 32/17",Протипожежні інновації,"Малиновського, 4",
51,Оболонь,"31/17, 32/17",Протипожежні інновації,Героїв Сталінграда 32,
52,Дніпровський,28/17,НПО Інфотех,театр Драми і Комедії Броварський проспект 25,"50.453528, 30.599322"
53,Соломянський,27/17,НПО Інфотех,КП«Залізничне» Єревнаська 3А,"50.433020, 30.455703"
54,Соломянський,27/17,НПО Інфотех,КП«Індустріальне» ЖЭК Выборская 42,"50.448847, 30.442621"
55,Шевченківський,26/17,Техсервіс інженірінг,"бульвар Тараса Шевченка, 17","50.443320, 30.509236"
56,Шевченківський,26/17,Техсервіс інженірінг,"вул.Хрещатик, 7/11","50.450661, 30.526009"
57,Шевченківський,26/17,Техсервіс інженірінг,"вул. Пушкінська, 11а (Пост охорони КМДА)","50.445781, 30.518710"
58,Шевченківський,26/17,Техсервіс інженірінг,"вул. Дегтярівська, 37а",
59,Шевченківський,26/17,Техсервіс інженірінг,"вул. Обсерваторна, 3",
60,Шевченківський,26/17,Техсервіс інженірінг,"пер. Аскольдів, 3а","50.442802, 30.548634"
61,Печерський,25/17,Техком Сервіс,"бул. Л.Украинки, 28",
62,Печерський,25/17,Техком Сервіс,"вул. А.Барбюса, 53","50.417559, 30.528720"
63,Дарницький,21/17,Основи безпеки,Приміщення під конструкцією мосту «Південний»,
64,Дарницький,21/17,Основи безпеки,"Електрощитова ЖБ вул. Княжий Затон, 13",
65,Дарницький,21/17,Основи безпеки,"Електрощитова ЖБ вул. Вишняківська, 12.",
66,Дарницький,21/17,Основи безпеки,"Електрощитова ЖЕК вул. Ревуцького, 2а.",
67,Дарницький,21/17,Основи безпеки,"Електрощитова ЖЕК вул. Є. Харченка, 47а.",
68,Подільський,19/17,СТЦ Охоронні системи,,
69,бульвар Тараса Шевченка,"14/17, 15/17",Інтелекшуал констракшн,"бульвар Тараса Шевченка, 17","50.443320, 30.509236"
70,Труханів острів ,11/17,НПО Інфотех,Автобаза Киевшляхміст,"50.491510, 30.544887"
71,Труханів острів ,11/17,НПО Інфотех,На вулиці,"50.470600, 30.552281"
72,Труханів острів ,11/17,НПО Інфотех,Кафе біля пішохідного мосту,"50.459123, 30.536777"
73,Андріївський узвіз та вул. Сагайдачного,7/17,Основи безпеки,Контрактова площа б.12 ,"50.462296, 30.518233"
74,Туристичні об’єкти Оболонського району,5/17,НВФ Охоронні системи НВ,"щитова парку ""Наталка"" ","50.494721, 30.526213"
75,Туристичні об’єкти Оболонського району,5/17,НВФ Охоронні системи НВ,паркова дорога 3/5,
76,Конгресно-виставковий центр «Парковий» та Паркова дорога,4/17,НВФ Охоронні системи НВ,"щитова парку ""Наталка"" ","50.494721, 30.526213"
77,"Площа Конституції, Контрактова та Поштова ",3/17,Техком Сервіс,"пер. Аскольдів, 3а","50.442802, 30.548634"
78,"Площа Конституції, Контрактова та Поштова ",3/17,Техком Сервіс,"вул. Г.Сковороди, 4","50.464373, 30.519180"
79,"Площа Конституції, Контрактова та Поштова ",3/17,Техком Сервіс,"вул. П.Сагайдачного, 8","50.460111, 30.523573"
80,Броварський проспект,2/17,НПО Інфотех,Метеостанція,"50.442804, 30.569546"
81,Броварський проспект,2/17,НПО Інфотех,театр Драми і Комедії Броварський проспект 25,"50.453528, 30.599322"
82,"Площі Михайлівська, Софіївська та вул. Хрещатик, у межах вул. Б.Хмельницького та вул. Прорізної",1/17,Інтелекшуал констракшн,Вул Володимирська 15,
83,"Площі Михайлівська, Софіївська та вул. Хрещатик, у межах вул. Б.Хмельницького та вул. Прорізної",1/17,Інтелекшуал констракшн,Бессарабська площа,
